created,type,artist,timestamp,shabadID,verseID,description,link,matched_verse
1712953851,ikirtan_SDO,Bhai Mohinder Singh Ji SDO,00:00:00,4729,55640,aanadh ra(n)g binodh hamaarai ||,https://www.ikirtan.com//Bhai_Mohinder_Singh_Jee_SDO/Bhaaee Mohinder Singh (Aanad rang binod hamaarai).mp3,ਆਨਦ ਰੰਗ ਬਿਨੋਦ ਹਮਾਰੈ ॥
1712966232,random,Bhai Mohinder Singh Ji SDO,01:21:32,,,Cold water shower tankhai ,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/106 Bhai Mohinder Singh Ji SDO Gurpurab Guru Gobind Singh Ji,Ldh 12,1980 7 Poh Gurdwara Singh Sabha. (heeraRattan).mp3",
1712966382,random,Bhai Mohinder Singh Ji SDO,02:02:32,,,Panth Khalsa kheti meri,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/106 Bhai Mohinder Singh Ji SDO Gurpurab Guru Gobind Singh Ji,Ldh 12,1980 7 Poh Gurdwara Singh Sabha. (heeraRattan).mp3",
1712969617,random,Bhai Mohinder Singh Ji SDO,01:46:50,,,Parukari guru pyare. Dhan,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/106 Bhai Mohinder Singh Ji SDO Gurpurab Guru Gobind Singh Ji,Ldh 12,1980 7 Poh Gurdwara Singh Sabha. (heeraRattan).mp3",
1712969797,random,Bhai Mohinder Singh Ji SDO,01:48:13,,,Parupkari Guru Pyare,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/106 Bhai Mohinder Singh Ji SDO Gurpurab Guru Gobind Singh Ji,Ldh 12,1980 7 Poh Gurdwara Singh Sabha. (heeraRattan).mp3",
1713014348,random,Bhai Mohinder Singh Ji SDO,00:00:54,808,11118,"ਜਾਗਤ ਜੋਤਿ ਜਪੈ ਨਿਸ ਬਾਸੁਰ ਏਕੁ ਬਿਨਾ, ਮਨਿ ਨੈਕ ਨ ਆਨੈ ॥","https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/106 Bhai Mohinder Singh Ji SDO Gurpurab Guru Gobind Singh Ji,Ldh 12,1980 7 Poh Gurdwara Singh Sabha. (heeraRattan).mp3",ਝਾਲਾਘੇ ਉਠਿ ਨਾਮੁ ਜਪਿ ਨਿਸਿ ਬਾਸੁਰ ਆਰਾਧਿ ॥
1713018299,random,Bhai Mohinder Singh Ji SDO,01:23:36,5,44,ਜਾ ਬਹਹਿ ਗੁਰਮੁਖਿ. ਹਰਿ ਨਾਮੁ ਬੋਲਹਿ ਜਾ ਖੜੇ ਗੁਰਮੁਖਿ. ਹਰਿ ਹਰਿ ਕਹਿਆ ॥,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/106 Bhai Mohinder Singh Ji SDO Gurpurab Guru Gobind Singh Ji,Ldh 12,1980 7 Poh Gurdwara Singh Sabha. (heeraRattan).mp3",ਗੁਰਮੁਖਿ ਨਾਦੰ ਗੁਰਮੁਖਿ ਵੇਦੰ ਗੁਰਮੁਖਿ ਰਹਿਆ ਸਮਾਈ ॥
1713465990,random,Bhai Mohinder Singh Ji SDO,00:27:55,2026,23521,"ਸਤਿ ਬਿਨੁ ਸੰਜਮ ਨ ਪਤਿ ਬਿਨੁ ਪੂਜਾ ਹੋਇ ਸਚ ਬਿਨੁ ਸੋਚ ਨ ਜਨੇਊ ਜਤ ਹੀਨ ਹੈ ॥ Except the name of the stable and firm Lord, no other deed is righteous. Except for the prayer and worship of Master Lord, worship of gods/goddesses is futile. No piety is beyond the truth and wearing of sacred thread without morality is futile.  ਬਿਨੁ ਗੁਰ ਦੀਖਿਆ ਗਿਆਨ ਬਿਨੁ ਦਰਸਨ ਧਿਆਨ ਭਾਉ ਬਿਨੁ ਭਗਤਿ ਨ ਕਥਨੀ ਭੈ ਭੀਨ ਹੈ ॥ Without obtaining initiation from a True Guru, no knowledge is worthwhile. No contemplation is useful except that of the True Guru. No worship is worth anything if not performed love, nor any view point expressed can invite respect.  ਸਾਂਤਿ ਨ ਸੰਤੋਖ ਬਿਨੁ ਸੁਖੁ ਨ ਸਹਜ ਬਿਨੁ ਸਬਦ ਸੁਰਤਿ ਬਿਨੁ ਪ੍ਰੇਮ ਨ ਪ੍ਰਬੀਨ ਹੈ ॥ Without patience and contentment, peace cannot reside. No true peace and comfort is achievable without acquiring a state of equipoise. Similarly no love can be stable without the union of the word and mind (consciousness).  ਬ੍ਰਹਮ ਬਿਬੇਕ ਬਿਨੁ ਹਿਰਦੈ ਨ ਏਕ ਟੇਕ ਬਿਨੁ ਸਾਧ ਸੰਗਤ ਨ ਰੰਗ ਲਿਵਲੀਨ ਹੈ ॥੨੧੫॥ Without deliberation on His name, one cannot establish faith in the heart and without the holy congregation of divine and saintly persons, engrossment in Lord's name is not possible. (215)  Bhai Gurdaas Ji in Vaaran - 0",https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/aisa_keertan/Sada Rang Rathey.mp3,ਜਾਨ ਪ੍ਰਬੀਨ ਸੁਆਮੀ ਪ੍ਰਭ ਮੇਰੇ ਸਰਣਿ ਤੁਮਾਰੀ ਅਹੀ ॥
1713467225,random,Bhai Tejinderpal Singh Ji Dulla,00:37:33,2550,28940,jap man naam haree hoh sarab sukhee ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/nirbankeertan/Soo soo jap dhin raathee (Dulla Ji).mp3,ਜਪਿ ਮਨ ਨਾਮੁ ਹਰੀ ਹੋਹਿ ਸਰਬ ਸੁਖੀ ॥
1713468255,random,Bhai Tejinderpal Singh Ji Dulla,00:51:46,2554,28969,jap man sat naam sadhaa sat naam ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/nirbankeertan/Soo soo jap dhin raathee (Dulla Ji).mp3,ਜਪਿ ਮਨ ਸਤਿ ਨਾਮੁ ਸਦਾ ਸਤਿ ਨਾਮੁ ॥
