created,type,artist,timestamp,shabadID,verseID,description,link,matched_verse
1712061305,random,Bhai Mohinder Singh Ji SDO,00:00:00,1818,21936,dhilahu muhabat ji(n)n(h) seiee sachiaa ||,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Joh Man Chit Ik Araadadhe - India 1980s.MP3,ਦਿਲਹੁ ਮੁਹਬਤਿ ਜਿੰਨੑ ਸੇਈ ਸਚਿਆ ॥
1712335216,random,Bhai Tejinderpal Singh Ji Dulla,00:51:45,2554,28969,Good vibes track. sick scrary tune. jap man sat naam sadhaa sat naam ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/nirbankeertan/Soo soo jap dhin raathee (Dulla Ji).mp3,ਜਪਿ ਮਨ ਸਤਿ ਨਾਮੁ ਸਦਾ ਸਤਿ ਨਾਮੁ ॥
1712352187,random,Bhai Tejinderpal Singh Ji Dulla,00:37:26,2550,28940,jap man naam haree hoh sarab sukhee ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/nirbankeertan/Soo soo jap dhin raathee (Dulla Ji).mp3,ਜਪਿ ਮਨ ਨਾਮੁ ਹਰੀ ਹੋਹਿ ਸਰਬ ਸੁਖੀ ॥
1712859248,random,Bhai Mohinder Singh Ji SDO,00:07:06,3262,37090,apune raameh bhaj re man aalaseeaa ||1|| rahaau ||,https://www.ikirtan.com//Bhai_Mohinder_Singh_Jee_SDO/Vancouver_BC_1980s/Bhai_Mohinder_Singh_Jee_SDO_Vancouver_1980s_Vol_35.mp3,ਅਪੁਨੇ ਰਾਮਹਿ ਭਜੁ ਰੇ ਮਨ ਆਲਸੀਆ ॥੧॥ ਰਹਾਉ ॥
1712929971,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:22:49,3280,37349,ahinis bhagat kare dhin raatee laaj chhoddi. har ke gun gaavai ||1|| rahaau ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/060 MGA SDO 1060 Track NO 1.m4a,ਅਹਿਨਿਸਿ ਭਗਤਿ ਕਰੇ ਦਿਨੁ ਰਾਤੀ ਲਾਜ ਛੋਡਿ ਹਰਿ ਕੇ ਗੁਣ ਗਾਵੈ ॥੧॥ ਰਹਾਉ ॥
1712930141,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:33:47,340,4939,ਤੇਰਾ ਜਨੁ ਨਿਰਤਿ ਕਰੇ ਗੁਨ ਗਾਵੈ ॥,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/060 MGA SDO 1060 Track NO 1.m4a,ਸਚਾ ਤਾਲੁ ਪੂਰੇ ਮਾਇਆ ਮੋਹੁ ਚੁਕਾਏ ਸਬਦੇ ਨਿਰਤਿ ਕਰਾਵਣਿਆ ॥੩॥
1712930246,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:34:49,1478,17380,rabaab pakhaavaj taal ghu(n)gharoo anahadh sabadh vajaavai ||1|| rahaau ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/060 MGA SDO 1060 Track NO 1.m4a,ਰਬਾਬੁ ਪਖਾਵਜ ਤਾਲ ਘੁੰਘਰੂ ਅਨਹਦ ਸਬਦੁ ਵਜਾਵੈ ॥੧॥ ਰਹਾਉ ॥
1712930402,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:42:23,2966,33590,ddaaddee gun gaavai nit janam savaariaa ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/060 MGA SDO 1060 Track NO 1.m4a,ਢਾਢੀ ਗੁਣ ਗਾਵੈ ਨਿਤ ਜਨਮੁ ਸਵਾਰਿਆ ॥
1712930440,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:44:27,5428,59386,Gun gavaaa nit nit. ਵਾਹਿਗੁਰੂ ਵਾਹਿਗੁਰੂ GUR,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/060 MGA SDO 1060 Track NO 1.m4a,ਵਾਹਿਗੁਰੂ ਵਾਹਿਗੁਰੂ ਵਾਹਿਗੁਰੂ ਵਾਹਿ ਜੀਉ ॥
1712930597,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:00:30,4500,53479,lekhaa paReeaai har naam fir lekhu. na hoiee ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/061 MGA SDO 1061 Track No 1.m4a,ਲੇਖਾ ਪੜੀਐ ਹਰਿ ਨਾਮੁ ਫਿਰਿ ਲੇਖੁ ਨ ਹੋਈ ॥
